,start_date,end_date,risk_level,quantity_recovered,url,states,0,0
0,2010-01-09,2012-06-03,High,117.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-pork-skin-products-due-mislabeling-and-undeclared-allergen,California,pork skin products,mislabeling and an undeclared allergen
1,2010-01-11,2013-06-03,High,1391.0,https://www.fsis.usda.gov/recalls-alerts/massachusetts-firm-recalls-beef-products-due-possible-e.-coli-o157h7-contamination,Massachusetts,beef products,possible e. coli o157:h7 contamination
2,2010-01-15,2013-06-03,Low,218.0,https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-beef-carcass-contains-prohibited-materials,New York,beef carcass,contains prohibited materials
3,2010-01-18,2013-06-03,High,277604.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-beef-products-due-possible-e.-coli-o157h7-contamination-0,California,beef products,possible e. coli o157:h7 contamination
4,2010-01-20,2013-06-03,High,4800.0,https://www.fsis.usda.gov/recalls-alerts/indiana-firm-recalls-frozen-chicken-pot-pie-products-may-contain-foreign-materials,"Delaware, Florida, Illinois, Indiana, Iowa, Kentucky, Maryland, Michigan, Missouri, New Jersey, Ohio, Pennsylvania, Virginia, West Virginia, Wisconsin",frozen chicken pot pie products,may contain foreign materials
5,2010-01-23,2013-06-03,High,234686.0,https://www.fsis.usda.gov/recalls-alerts/rhode-island-firm-recalls-italian-sausage-products-due-possible-salmonella,,italian sausage products,possible salmonella contamination
6,2010-01-27,2012-06-03,Low,35651.0,https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-recalls-instant-noodle-products-imported-unapproved-source,,instant noodle products,imported from an unapproved source
7,2010-01-31,2013-06-03,High,234686.0,https://www.fsis.usda.gov/recalls-alerts/rhode-island-firm-recalls-italian-sausage-products-due-possible-salmonella-0,,italian sausage products,possible salmonella contamination
8,2010-02-02,2012-06-03,High,11557.0,https://www.fsis.usda.gov/recalls-alerts/missouri-firm-recalls-fresh-boneless-beef-products-due-possible-e.-coli-o157h7,Illinois,fresh boneless beef products,possible e. coli o157:h7 contamination
9,2010-02-05,2012-06-03,Low,350.0,https://www.fsis.usda.gov/recalls-alerts/north-carolina-firm-recalls-pork-barbecue-products-due-undeclared-allergen,North Carolina,pork barbecue products,an undeclared allergen
10,2010-02-10,2012-06-03,Low,624.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-frozen-cured-pork-patty-mix-due-mislabeling-and-undeclared,"Arizona, California",frozen cured pork patty mix,mislabeling and an undeclared allergen
11,2010-02-10,2012-06-03,Low,438.0,https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-recalls-ready-eat-sausage-products-may-contain-foreign-materials,"California, Connecticut, Florida, Georgia, Indiana, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oregon, Texas",ready-to-eat sausage products,may contain foreign materials
12,2010-02-12,2012-06-03,Low,1040.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-frozen-turkey-patty-products-due-mislabeling-and-undeclared,"California, Illinois",frozen turkey patty products,mislabeling and an undeclared allergen
13,2010-02-12,2013-06-03,High,277604.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-beef-products-due-possible-e.-coli-o157h7-contamination-1,California,beef products,possible e. coli o157:h7 contamination
14,2010-02-16,2013-06-03,High,234686.0,https://www.fsis.usda.gov/recalls-alerts/rhode-island-firm-recalls-italian-sausage-products-due-possible-salmonella-1,,italian sausage products,possible salmonella contamination
15,2010-03-02,2012-06-03,Low,100949.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-26,"Illinois, Missouri, New York, Ohio, Virginia",,
16,2010-03-08,2012-06-03,Low,647.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-27,,,
17,2010-03-09,2012-06-03,High,115106.0,https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-ready-eat-beef-product-due-possible-salmonella-contamination,,ready-to-eat beef product,possible salmonella contamination
18,2010-03-09,2012-06-03,High,517705.0,https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-ready-eat-beef-taquito-and-chicken-quesadilla-products-due,,ready-to-eat beef taquito and chicken quesadilla products,possible salmonella contamination
19,2010-03-11,2012-06-03,High,13.0,https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-various-chicken-products-produced-without-inspection,New York,various chicken products,produced without inspection
20,2010-03-12,2012-06-03,High,6239.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-enchilada-products-due-mislabeling-and-undeclared-allergen,"Alabama, Arkansas, California, Tennessee, Texas",enchilada products,mislabeling and an undeclared allergen
21,2010-03-13,2012-06-03,High,3026.0,https://www.fsis.usda.gov/recalls-alerts/nevada-firm-recalls-assorted-asian-style-products-produced-without-inspection,Nevada,assorted asian-style products,produced without inspection
22,2010-03-16,,,,https://www.fsis.usda.gov/recalls-alerts/fsis-issues-public-health-alert-ready-eat-deli-meat-products,,ready-to-eat deli meat products,
23,2010-03-19,2012-06-03,Low,4124.0,https://www.fsis.usda.gov/recalls-alerts/indiana-firm-recalls-fresh-sweet-italian-turkey-sausage-products-due-undeclared,"Florida, Illinois, Indiana, Kentucky, Maryland, Missouri, New Jersey, New York, Ohio, Pennsylvania, Virginia",fresh sweet italian turkey sausage products,an undeclared allergen
24,2010-04-04,2012-06-03,High,28.0,https://www.fsis.usda.gov/recalls-alerts/minnesota-firm-recalls-ham-products-possible-listeria-contamination,Minnesota,ham products,for possible listeria contamination
25,2010-04-05,2012-06-03,Low,17460.0,https://www.fsis.usda.gov/recalls-alerts/north-dakota-firm-recalls-whole-beef-head-products-contain-prohibited-materials,"Maryland, Colorado, Minnesota",whole beef head products,contain prohibited materials
26,2010-04-17,2012-06-03,Low,7741.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-assorted-meat-products-due-mislabeling-and-undeclared,,assorted meat products,mislabeling and an undeclared allergen
27,2010-04-21,2012-06-03,High,62144.0,https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-beef-trim-products-due-possible-e.-coli-o157h7-contamination,"Georgia, Louisiana, Ohio, Oklahoma, Texas, Washington, Wisconsin",beef trim products,possible e. coli o157:h7 contamination
